CODE,MSOA,housing_price,mean_income,population,fertility_rate
E02000691,Merton 003,755205,70100 ,7394 ,67.7
E02000692,Merton 004,927540,77400 ,7571 ,78.7
E02000693,Merton 005,373927,58300 ,9300 ,93.1
E02000694,Merton 006,585247,71700 ,8936 ,74.5
E02000695,Merton 007,427820,50100 ,8422 ,74.8
E02000696,Merton 008,302320,48500 ,8234 ,65.1
E02000697,Merton 009,611412,73500 ,8373 ,73.0
E02000698,Merton 010,1064321,70500 ,7828 ,68.6
E02000699,Merton 011,599348,70500 ,7703 ,69.6
E02000700,Merton 012,277812,44400 ,8394 ,97.9
E02000701,Merton 013,297023,48200 ,8419 ,72.5
E02000702,Merton 014,267031,41300 ,8505 ,59.9
E02000703,Merton 015,704188,63800 ,7822 ,86.5
E02000704,Merton 016,433497,54100 ,8028 ,70.0
E02000705,Merton 017,318559,50200 ,8622 ,87.4
E02000706,Merton 018,278006,38700 ,9160 ,81.8
E02000707,Merton 019,256681,41700 ,7598 ,71.3
E02000708,Merton 020,450088,61200 ,8421 ,59.7
E02000709,Merton 021,458020,58500 ,7688 ,94.7
E02000710,Merton 022,290637,43400 ,8605 ,77.9
E02000711,Merton 023,283436,42500 ,8569 ,67.9
E02000712,Merton 024,299380,42200 ,8791 ,60.9
E02000713,Merton 025,313670,55200 ,7477 ,103.1
E02000840,Sutton 001,245328,42900 ,8332 ,88.5
E02000841,Sutton 002,241153,42200 ,8969 ,64.8
E02000842,Sutton 003,334160,53100 ,7816 ,75.9
E02000843,Sutton 004,235593,51300 ,7791 ,46.0
E02000844,Sutton 005,272883,49100 ,8014 ,64.3
E02000845,Sutton 006,361238,60300 ,9544 ,71.0
E02000846,Sutton 007,309486,52600 ,7274 ,100.6
E02000847,Sutton 008,361314,54700 ,9205 ,66.5
E02000848,Sutton 009,332243,61100 ,8037 ,61.9
E02000849,Sutton 010,291304,54000 ,7786 ,55.8
E02000850,Sutton 011,284863,57100 ,10687 ,58.1
E02000851,Sutton 012,251898,45400 ,9010 ,66.9
E02000852,Sutton 013,281440,51600 ,7646 ,90.4
E02000853,Sutton 014,301100,50300 ,7776 ,74.0
E02000854,Sutton 015,349616,57700 ,7483 ,66.8
E02000855,Sutton 016,421699,62400 ,8031 ,67.6
E02000856,Sutton 017,331776,54100 ,8809 ,66.5
E02000857,Sutton 018,264998,52000 ,8357 ,55.5
E02000858,Sutton 019,261696,40500 ,8109 ,73.5
E02000859,Sutton 020,333603,50900 ,8526 ,77.2
E02000860,Sutton 021,250395,46700 ,8147 ,46.0
E02000861,Sutton 022,517265,69500 ,7666 ,76.5
E02000863,Sutton 024,415963,54800 ,6617 ,39.7
E02006836,Sutton 025,562669,66200 ,8502 ,54.2
E02000923,Wandsworth 001,1077134,65000 ,7713 ,56.6
E02000924,Wandsworth 002,689363,44500 ,11912 ,68.0
E02000925,Wandsworth 003,771073,48000 ,7753 ,66.8
E02000926,Wandsworth 004,612507,61000 ,9400 ,76.2
E02000927,Wandsworth 005,641207,54300 ,7049 ,57.0
E02000928,Wandsworth 006,1010061,81100 ,8372 ,71.0
E02000929,Wandsworth 007,354881,41700 ,7299 ,73.6
E02000930,Wandsworth 008,681880,66800 ,10355 ,66.2
E02000931,Wandsworth 009,923073,88800 ,9198 ,69.9
E02000932,Wandsworth 010,717153,75600 ,10511 ,53.6
E02000933,Wandsworth 011,879646,67000 ,8521 ,56.0
E02000934,Wandsworth 012,685444,63800 ,9460 ,64.6
E02000935,Wandsworth 013,659300,38100 ,6953 ,62.5
E02000936,Wandsworth 014,561246,68300 ,8511 ,48.6
E02000937,Wandsworth 015,1145615,87600 ,8040 ,71.9
E02000938,Wandsworth 016,656566,49500 ,10087 ,60.5
E02000939,Wandsworth 017,1428626,96900 ,8143 ,89.1
E02000940,Wandsworth 018,465984,57800 ,8012 ,71.8
E02000941,Wandsworth 019,746009,72700 ,10119 ,86.2
E02000942,Wandsworth 020,816564,73600 ,9315 ,67.0
E02000943,Wandsworth 021,697424,74100 ,8463 ,58.1
E02000944,Wandsworth 022,412639,48700 ,7072 ,56.3
E02000945,Wandsworth 023,409109,37500 ,7912 ,59.8
E02000946,Wandsworth 024,592311,59200 ,8613 ,72.4
E02000947,Wandsworth 025,652094,71200 ,8470 ,87.6
E02000948,Wandsworth 026,579120,68200 ,9673 ,60.6
E02000949,Wandsworth 027,849855,76400 ,9593 ,59.4
E02000950,Wandsworth 028,495179,50400 ,7473 ,55.4
E02000951,Wandsworth 029,616124,61700 ,6567 ,66.0
E02000952,Wandsworth 030,760542,66300 ,5963 ,51.4
E02000953,Wandsworth 031,606625,68000 ,7538 ,76.5
E02000954,Wandsworth 032,568375,56600 ,6190 ,72.7
E02000955,Wandsworth 033,483151,45500 ,6429 ,82.4
E02000956,Wandsworth 034,429630,47900 ,7920 ,65.5
E02000957,Wandsworth 035,437360,49400 ,10960 ,75.3
E02000958,Wandsworth 036,512468,58200 ,8600 ,62.3
E02000959,Wandsworth 037,397888,48400 ,7986 ,80.4
