MSOA11CD,MSOA,residual
E02000722,Newham 009,31599.44199
E02000723,Newham 010,-44944.45467
E02000724,Newham 011,83611.66857
E02000725,Newham 012,-134562.9444
E02000726,Newham 013,-15074.76486
E02000727,Newham 014,27167.6878
E02000728,Newham 015,-113401.9345
E02000729,Newham 016,133641.5543
E02000730,Newham 017,26875.36396
E02000731,Newham 018,-20304.77818
E02000732,Newham 019,102722.5834
E02000733,Newham 020,154581.675
E02000734,Newham 021,127809.2105
E02000735,Newham 022,-33203.53007
E02000736,Newham 023,138975.5654
E02000737,Newham 024,137956.309
E02000738,Newham 025,-6985.500247
E02000739,Newham 026,21827.85278
E02000740,Newham 027,116471.95
E02000741,Newham 028,19831.85458
E02000742,Newham 029,39833.24228
E02000743,Newham 030,168020.9911
E02000744,Newham 031,8056.41988
E02000745,Newham 032,-13027.21098
E02000746,Newham 033,8784.044087
E02000747,Newham 034,-46054.71869
E02000748,Newham 035,-545.7510623
E02000749,Newham 036,137031.5246
E02000750,Newham 037,-330340.8166
E02000751,Redbridge 001,-159291.6069
E02000752,Redbridge 002,-47278.55263
E02000753,Redbridge 003,-120117.3934
E02000754,Redbridge 004,-231791.7288
E02000755,Redbridge 005,-119994.1558
E02000756,Redbridge 006,-87711.92546
E02000757,Redbridge 007,-291430.9166
E02000758,Redbridge 008,-87002.67281
E02000759,Redbridge 009,-192815.0497
E02000760,Redbridge 010,-160899.7013
E02000762,Redbridge 012,-227652.8332
E02000763,Redbridge 013,-147734.1246
E02000764,Redbridge 014,-255094.8824
E02000765,Redbridge 015,-214443.1324
E02000767,Redbridge 017,-258007.1515
E02000768,Redbridge 018,-150026.4851
E02000769,Redbridge 019,-218376.579
E02000770,Redbridge 020,-160926.3568
E02000772,Redbridge 022,-116777.8846
E02000773,Redbridge 023,-198714.9725
E02000774,Redbridge 024,-92719.3383
E02000776,Redbridge 026,-73268.46218
E02000777,Redbridge 027,-176642.2565
E02000779,Redbridge 029,-86261.37286
E02000780,Redbridge 030,-163684.2674
E02000781,Redbridge 031,-139087.6994
E02000782,Redbridge 032,-11947.22301
E02000783,Redbridge 033,37325.74541
E02006800,Redbridge 034,-61688.18627
E02006924,Redbridge 035,-24071.93215
E02006925,Redbridge 036,-115902.0603
E02000784,Richmond upon Thames 001,673016.0844
E02000785,Richmond upon Thames 002,-106737.1648
E02000786,Richmond upon Thames 003,138971.9995
E02000787,Richmond upon Thames 004,-101499.6073
E02000788,Richmond upon Thames 005,1404.580651
E02000789,Richmond upon Thames 006,43820.04685
E02000790,Richmond upon Thames 007,-158654.7272
E02000791,Richmond upon Thames 008,114424.0437
E02000792,Richmond upon Thames 009,-207745.9212
E02000793,Richmond upon Thames 010,-179963.342
E02000794,Richmond upon Thames 011,-333536.6022
E02000795,Richmond upon Thames 012,292285.0654
E02000796,Richmond upon Thames 013,-159274.0735
E02000797,Richmond upon Thames 014,-369645.3944
E02000798,Richmond upon Thames 015,-217872.7602
E02000799,Richmond upon Thames 016,-32638.60665
E02000800,Richmond upon Thames 017,-67088.8051
E02000801,Richmond upon Thames 018,-321294.861
E02000802,Richmond upon Thames 019,-192858.7799
E02000803,Richmond upon Thames 020,-108666.5851
E02000804,Richmond upon Thames 021,-125304.6423
E02000805,Richmond upon Thames 022,-189037.3257
E02000806,Richmond upon Thames 023,-53229.51596
E02000807,Southwark 001,-426594.7587
E02000808,Southwark 002,208901.2103
E02000809,Southwark 003,-287725.8103
E02000810,Southwark 004,-15225.8614
E02000812,Southwark 006,76443.44026
E02000813,Southwark 007,-9311.811147
E02000814,Southwark 008,-388020.8295
E02000815,Southwark 009,-193271.7781
E02000816,Southwark 010,78034.66656
E02000817,Southwark 011,36556.26839
E02000818,Southwark 012,-16566.39791
E02000819,Southwark 013,120713.325
E02000820,Southwark 014,106176.4845
E02000821,Southwark 015,165025.1274
E02000822,Southwark 016,13029.81871
E02000823,Southwark 017,122601.7848
E02000824,Southwark 018,109373.4039
E02000825,Southwark 019,32643.59057
E02000826,Southwark 020,-2645.881154
E02000827,Southwark 021,105194.0113
E02000828,Southwark 022,18578.10392
E02000829,Southwark 023,107236.134
E02000830,Southwark 024,134320.2304
E02000831,Southwark 025,176811.0019
E02000832,Southwark 026,125175.5802
E02000833,Southwark 027,-12561.2368
E02000834,Southwark 028,28888.92096
E02000835,Southwark 029,-110105.2278
E02000836,Southwark 030,-128980.4151
E02000837,Southwark 031,71012.97863
E02000838,Southwark 032,2793.835385
E02000839,Southwark 033,-41999.58134
E02006802,Southwark 034,155796.3976
E02000840,Sutton 001,-38982.44956
E02000841,Sutton 002,-98724.86841
E02000842,Sutton 003,-193202.5141
E02000843,Sutton 004,-343310.2727
E02000844,Sutton 005,-207823.5093
E02000845,Sutton 006,-325975.1278
E02000846,Sutton 007,-134991.6299
E02000847,Sutton 008,-226141.1892
E02000848,Sutton 009,-398148.0026
E02000849,Sutton 010,-313428.0679
E02000850,Sutton 011,-375603.9393
E02000851,Sutton 012,-146410.6654
E02000852,Sutton 013,-172894.4294
E02000853,Sutton 014,-175328.5898
E02000854,Sutton 015,-297571.2345
E02000855,Sutton 016,-318056.2774
E02000856,Sutton 017,-243409.2228
E02000857,Sutton 018,-300215.4166
E02000858,Sutton 019,-18193.16861
E02000859,Sutton 020,-145538.9613
E02000860,Sutton 021,-235620.6002
E02000861,Sutton 022,-339930.3328
E02000863,Sutton 024,-252436.2444
E02006836,Sutton 025,-293255.3735
E02000864,Tower Hamlets 001,-49799.40308
E02000865,Tower Hamlets 002,124222.8596
E02000866,Tower Hamlets 003,-131497.0645
E02000867,Tower Hamlets 004,-281696.3678
E02000868,Tower Hamlets 005,-15691.58516
E02000869,Tower Hamlets 006,162324.7998
E02000870,Tower Hamlets 007,15436.52149
E02000871,Tower Hamlets 008,34520.3332
E02000872,Tower Hamlets 009,185689.9528
E02000873,Tower Hamlets 010,89348.47593
E02000874,Tower Hamlets 011,201202.8642
E02000875,Tower Hamlets 012,-99194.71812
E02000876,Tower Hamlets 013,-128289.1494
E02000877,Tower Hamlets 014,21151.27838
E02000878,Tower Hamlets 015,156554.8069
E02000879,Tower Hamlets 016,48648.0427
E02000880,Tower Hamlets 017,29743.1247
E02000881,Tower Hamlets 018,57662.44892
E02000882,Tower Hamlets 019,141155.1245
E02000883,Tower Hamlets 020,90303.45366
E02000884,Tower Hamlets 021,97952.64515
E02000885,Tower Hamlets 022,-16053.56699
E02000886,Tower Hamlets 023,-40149.59819
E02000887,Tower Hamlets 024,25666.87982
E02000888,Tower Hamlets 025,-112440.3581
E02000889,Tower Hamlets 026,-135213.906
E02000890,Tower Hamlets 027,-257562.9387
E02000891,Tower Hamlets 028,-648165.8078
E02000893,Tower Hamlets 030,-42847.92502
E02000894,Tower Hamlets 031,-228809.5095
E02006853,Tower Hamlets 032,-220105.0901
E02006854,Tower Hamlets 033,-1036337.033
E02000895,Waltham Forest 001,-52775.97196
E02000896,Waltham Forest 002,-131960.8683
E02000897,Waltham Forest 003,-16358.82581
E02000898,Waltham Forest 004,-132739.3574
E02000899,Waltham Forest 005,-73617.18266
E02000900,Waltham Forest 006,-65700.02218
E02000901,Waltham Forest 007,-280135.1265
E02000902,Waltham Forest 008,-71183.17178
E02000903,Waltham Forest 009,112539.27
E02000904,Waltham Forest 010,-2588.298041
E02000905,Waltham Forest 011,-3168.229319
E02000906,Waltham Forest 012,3270.629236
E02000907,Waltham Forest 013,137227.4057
E02000908,Waltham Forest 014,128169.8287
E02000909,Waltham Forest 015,2200.914223
E02000910,Waltham Forest 016,25133.69349
E02000911,Waltham Forest 017,73546.53223
E02000912,Waltham Forest 018,32968.2794
E02000913,Waltham Forest 019,76323.95071
E02000914,Waltham Forest 020,233906.4302
E02000915,Waltham Forest 021,-62465.396
E02000916,Waltham Forest 022,72159.01906
E02000917,Waltham Forest 023,-30589.58035
E02000918,Waltham Forest 024,144467.3207
E02000919,Waltham Forest 025,89376.33317
E02000920,Waltham Forest 026,51900.35396
E02000921,Waltham Forest 027,119346.2416
E02000922,Waltham Forest 028,146489.035
E02000923,Wandsworth 001,252533.0377
E02000924,Wandsworth 002,312403.5215
E02000925,Wandsworth 003,319985.7247
E02000926,Wandsworth 004,-73654.46395
E02000927,Wandsworth 005,33849.54658
E02000928,Wandsworth 006,-97716.86873
E02000929,Wandsworth 007,51232.91423
E02000930,Wandsworth 008,-150883.2125
E02000931,Wandsworth 009,-343551.8457
E02000932,Wandsworth 010,-330508.3697
E02000933,Wandsworth 011,12651.07229
E02000934,Wandsworth 012,-91502.9544
E02000935,Wandsworth 013,395623.028
E02000936,Wandsworth 014,-353567.3707
E02000937,Wandsworth 015,-90918.01455
E02000938,Wandsworth 016,156574.0644
E02000939,Wandsworth 017,54881.43947
E02000940,Wandsworth 018,-168483.8121
E02000941,Wandsworth 019,-147159.6707
E02000942,Wandsworth 020,-151361.9711
E02000943,Wandsworth 021,-306715.0045
E02000944,Wandsworth 022,-83431.34376
E02000945,Wandsworth 023,149598.5306
E02000946,Wandsworth 024,-68551.20966
E02000947,Wandsworth 025,-206609.1407
E02000948,Wandsworth 026,-298350.6337
E02000949,Wandsworth 027,-196991.9003
E02000950,Wandsworth 028,-37973.4225
E02000951,Wandsworth 029,-114212.9679
E02000952,Wandsworth 030,-105649.8299
E02000953,Wandsworth 031,-220128.2207
E02000954,Wandsworth 032,-39274.83119
E02000955,Wandsworth 033,128380.5198
E02000956,Wandsworth 034,-23415.88907
E02000957,Wandsworth 035,-16881.0938
E02000958,Wandsworth 036,-158124.1044
E02000959,Wandsworth 037,-21253.33487
E02000960,Westminster 001,868238.9332
E02000961,Westminster 002,431452.4308
E02000962,Westminster 003,715415.4647
E02000963,Westminster 004,222825.5287
E02000964,Westminster 005,93122.3203
E02000965,Westminster 006,34423.94213
E02000966,Westminster 007,340116.7525
E02000967,Westminster 008,139823.3889
E02000968,Westminster 009,209167.635
E02000969,Westminster 010,145796.3063
E02000970,Westminster 011,817978.9307
E02000971,Westminster 012,383547.7431
E02000972,Westminster 013,885278.5901
E02000973,Westminster 014,600167.6212
E02000974,Westminster 015,413681.8466
E02000975,Westminster 016,501057.1737
E02000976,Westminster 017,418351.0139
E02000977,Westminster 018,1421481.749
E02000978,Westminster 019,3773952.064
E02000979,Westminster 020,701325.4918
E02000980,Westminster 021,318159.1138
E02000981,Westminster 022,94795.89372
E02000982,Westminster 023,1766388.488
E02000983,Westminster 024,348111.6207
