MSOA11CD,MSOA,residual
E02000168,Camden 003,180730.2274
E02000169,Camden 004,582279.456
E02000170,Camden 005,65986.86206
E02000171,Camden 006,314136.7317
E02000172,Camden 007,247372.402
E02000173,Camden 008,407144.1633
E02000174,Camden 009,128407.0063
E02000175,Camden 010,-54219.00697
E02000176,Camden 011,180938.7597
E02000177,Camden 012,232067.3678
E02000178,Camden 013,95512.71948
E02000179,Camden 014,393931.3946
E02000180,Camden 015,156009.7887
E02000181,Camden 016,107494.76
E02000182,Camden 017,397612.0587
E02000183,Camden 018,722834.4383
E02000184,Camden 019,54276.47475
E02000185,Camden 020,100778.9475
E02000186,Camden 021,1270640.971
E02000187,Camden 022,342131.9836
E02000188,Camden 023,92895.84022
E02000189,Camden 024,146546.2514
E02000190,Camden 025,323404.1489
E02000191,Camden 026,-13782.21941
E02000192,Camden 027,302077.3659
E02000193,Camden 028,102217.0298
E02000194,Croydon 001,-31779.98429
E02000195,Croydon 002,-49466.37949
E02000196,Croydon 003,-61984.53873
E02000197,Croydon 004,-8919.522925
E02000198,Croydon 005,-47680.47015
E02000199,Croydon 006,-121386.1521
E02000200,Croydon 007,-114652.4276
E02000201,Croydon 008,-48062.52381
E02000202,Croydon 009,-136314.0387
E02000203,Croydon 010,-82999.73796
E02000204,Croydon 011,-172009.3817
E02000206,Croydon 013,-69716.28894
E02000207,Croydon 014,-83360.08225
E02000208,Croydon 015,-24686.31101
E02000209,Croydon 016,1348.557137
E02000210,Croydon 017,-122464.6405
E02000211,Croydon 018,-185806.5071
E02000212,Croydon 019,-163220.4529
E02000213,Croydon 020,62016.65438
E02000214,Croydon 021,-239898.9513
E02000215,Croydon 022,-268436.713
E02000216,Croydon 023,-226863.3488
E02000217,Croydon 024,-136207.6605
E02000218,Croydon 025,2780.235728
E02000219,Croydon 026,-243532.6004
E02000220,Croydon 027,-240247.257
E02000221,Croydon 028,5185.989058
E02000222,Croydon 029,-193855.7151
E02000223,Croydon 030,58444.25916
E02000224,Croydon 031,-289593.8852
E02000225,Croydon 032,13858.80139
E02000226,Croydon 033,-331923.9086
E02000227,Croydon 034,-280148.2253
E02000228,Croydon 035,-394230.3065
E02000229,Croydon 036,-17284.16762
E02000230,Croydon 037,-214092.7125
E02000231,Croydon 038,-227760.6913
E02000232,Croydon 039,-228006.7294
E02000233,Croydon 040,-293623.7819
E02000234,Croydon 041,-193550.1541
E02000235,Croydon 042,-365615.5879
E02000236,Croydon 043,-387657.7387
E02000237,Croydon 044,-220667.492
E02006788,Croydon 045,-73648.95601
E02000238,Ealing 001,-119948.6572
E02000239,Ealing 002,-132040.7888
E02000240,Ealing 003,-23540.15073
E02000241,Ealing 004,-83138.67927
E02000242,Ealing 005,-47301.53297
E02000243,Ealing 006,-57947.71232
E02000244,Ealing 007,5172.369533
E02000245,Ealing 008,991.6969844
E02000246,Ealing 009,-49588.69756
E02000247,Ealing 010,-49756.7623
E02000248,Ealing 011,52611.43352
E02000249,Ealing 012,5665.695072
E02000250,Ealing 013,-210203.6292
E02000251,Ealing 014,-148946.5637
E02000252,Ealing 015,137849.2081
E02000253,Ealing 016,97160.89654
E02000254,Ealing 017,-130556.9431
E02000255,Ealing 018,7191.134243
E02000256,Ealing 019,-101875.2215
E02000257,Ealing 020,-82788.61509
E02000258,Ealing 021,146619.6809
E02000259,Ealing 022,-99971.96723
E02000260,Ealing 023,-111573.4984
E02000261,Ealing 024,225024.1978
E02000262,Ealing 025,250843.0583
E02000263,Ealing 026,-47857.12524
E02000264,Ealing 027,1542.58543
E02000265,Ealing 028,-13862.77227
E02000266,Ealing 029,7163.739673
E02000267,Ealing 030,-31270.92784
E02000268,Ealing 031,13482.57838
E02000269,Ealing 032,-210045.9193
E02000270,Ealing 033,120258.296
E02000271,Ealing 034,362016.2955
E02000272,Ealing 035,-37341.8826
E02000274,Ealing 037,-108182.979
E02000275,Ealing 038,43930.98332
E02000276,Ealing 039,-176281.214
E02006791,Ealing 040,-33725.32892
E02000277,Enfield 001,-122256.7429
E02000278,Enfield 002,17185.06613
E02000279,Enfield 003,-90979.42753
E02000280,Enfield 004,-119401.7172
E02000281,Enfield 005,-74218.8581
E02000282,Enfield 006,76318.24325
E02000283,Enfield 007,20032.25832
