CODE,MSOA,housing_price,mean_income,population,fertility_rate
E02000650,Lambeth 033,401417,46900 ,7612 ,75.0
E02000651,Lambeth 034,423318,47700 ,9309 ,87.1
E02000652,Lambeth 035,376095,45500 ,8196 ,87.8
E02006801,Lambeth 036,650602,56300 ,9460 ,87.8
E02000807,Southwark 001,470532,69700 ,8994 ,64.3
E02000808,Southwark 002,817640,55400 ,10451 ,64.1
E02000809,Southwark 003,799543,75300 ,12979 ,38.1
E02000810,Southwark 004,445479,48800 ,11093 ,69.0
E02000812,Southwark 006,549856,50300 ,10688 ,75.0
E02000813,Southwark 007,417972,42900 ,10046 ,39.9
E02000814,Southwark 008,411477,63400 ,8785 ,54.2
E02000815,Southwark 009,408130,57200 ,6955 ,78.9
E02000816,Southwark 010,381081,39700 ,9530 ,60.1
E02000817,Southwark 011,345435,36300 ,6768 ,34.8
E02000818,Southwark 012,361108,44200 ,7643 ,65.7
E02000819,Southwark 013,357384,39200 ,8821 ,79.2
E02000820,Southwark 014,424301,40900 ,9607 ,63.2
E02000821,Southwark 015,358019,37800 ,8228 ,84.5
E02000822,Southwark 016,288151,39400 ,7398 ,67.5
E02000823,Southwark 017,427457,41900 ,8381 ,74.6
E02000824,Southwark 018,297930,35800 ,9917 ,72.2
E02000825,Southwark 019,281046,38500 ,9589 ,70.4
E02000826,Southwark 020,361675,46300 ,9102 ,84.6
E02000827,Southwark 021,320069,42300 ,10717 ,107.9
E02000828,Southwark 022,317959,42900 ,8400 ,83.3
E02000829,Southwark 023,366787,40300 ,11524 ,79.0
E02000830,Southwark 024,574243,51400 ,9030 ,93.9
E02000831,Southwark 025,545376,49100 ,9805 ,102.4
E02000832,Southwark 026,395798,40800 ,10521 ,78.7
E02000833,Southwark 027,419621,50400 ,7945 ,89.7
E02000834,Southwark 028,622224,59400 ,9444 ,96.8
E02000835,Southwark 029,468128,55200 ,7716 ,73.0
E02000836,Southwark 030,650081,66000 ,8191 ,79.0
E02000837,Southwark 031,1105235,80700 ,9416 ,93.2
E02000838,Southwark 032,557872,54400 ,9131 ,75.4
E02000839,Southwark 033,502744,54400 ,8106 ,78.9
E02006802,Southwark 034,645140,54500 ,7617 ,98.4
E02000960,Westminster 001,1816552,70500 ,7155 ,52.4
E02000961,Westminster 002,1135275,60400 ,10145 ,66.1
E02000962,Westminster 003,1365427,55100 ,9020 ,48.0
E02000963,Westminster 004,595566,43700 ,10992 ,63.9
E02000964,Westminster 005,524743,47100 ,13562 ,67.2
E02000965,Westminster 006,812677,62100 ,8894 ,52.5
