MSOA11CD,MSOA,housing_price,mean_income,population,fertility_rate
E02000125,Brent 033,705757,50300,10775,74.4
E02000126,Brent 034,411502,36300,7319,81
E02000127,Bromley 001,279270,41700,8996,68.5
E02000128,Bromley 002,384344,57300,7473,63.1
E02000130,Bromley 004,398681,51500,8397,67.5
E02000131,Bromley 005,306988,43900,9694,73.3
E02000132,Bromley 006,340747,53700,9392,78.7
E02000133,Bromley 007,656782,75200,10472,81.3
E02000134,Bromley 008,332657,53400,11453,73.6
E02000135,Bromley 009,256904,37500,10146,82.3
E02000136,Bromley 010,464477,52300,5781,68.2
E02000137,Bromley 011,389843,56900,8182,69
E02000138,Bromley 012,449272,65000,8289,62.2
E02000139,Bromley 013,430947,57200,7602,62.9
E02000140,Bromley 014,240546,38700,8203,62
E02000141,Bromley 015,308694,48700,7303,77.1
E02000142,Bromley 016,446012,61300,8599,71.5
E02000144,Bromley 018,382421,60200,9168,57
E02000145,Bromley 019,229667,44700,8499,79.7
E02000146,Bromley 020,360800,56800,9083,69.1
E02000147,Bromley 021,614960,69500,8067,92.7
E02000148,Bromley 022,519249,67600,6547,83.2
E02000149,Bromley 023,304345,46900,7865,45
E02000150,Bromley 024,482582,61100,8639,75.4
E02000151,Bromley 025,511559,74900,7605,64.1
E02000152,Bromley 026,327804,47900,7201,45.5
E02000153,Bromley 027,484086,71300,7910,63.6
E02000154,Bromley 028,378213,57300,8216,61.9
E02000155,Bromley 029,288756,47900,6981,37.4
E02000156,Bromley 030,473686,60900,12320,63.4
E02000157,Bromley 031,433979,73000,8126,58.6
E02000158,Bromley 032,380330,53300,7673,51.6
E02000159,Bromley 033,656961,70100,6947,39.2
E02000160,Bromley 034,454096,61400,7977,77.1
E02000161,Bromley 035,381830,66200,8542,61.6
E02000162,Bromley 036,369023,50700,6995,40.5
E02000163,Bromley 037,616870,62000,7741,51
E02000165,Bromley 039,269974,59200,7099,57.9
E02006782,Bromley 040,333051,48900,7708,61.7
E02006787,Bromley 041,386244,58900,7921,72.5
E02006789,Bromley 042,394769,52600,6466,57.4
E02000166,Camden 001,1013792,55000,8238,39.3
E02000167,Camden 002,1782611,81600,8251,64.1
E02000168,Camden 003,893129,58100,8781,47.4
E02000169,Camden 004,1596253,75900,8555,67.1
E02000170,Camden 005,884116,65400,8751,61.6
E02000171,Camden 006,968391,56500,8408,56.1
E02000172,Camden 007,597580,41600,11148,57.1
E02000173,Camden 008,1356084,72200,8504,63.8
E02000174,Camden 009,688052,50300,9105,45.7
E02000175,Camden 010,702019,59300,9479,40.7
E02000176,Camden 011,1065236,70000,7021,70.7
E02000177,Camden 012,634960,44700,9586,60.5
E02000178,Camden 013,526199,43800,9565,44.9
E02000179,Camden 014,1011287,56400,6756,68
E02000180,Camden 015,669353,49000,8334,52.5
E02000181,Camden 016,869456,62400,8238,60.1
E02000182,Camden 017,1132960,63100,7503,73.9
E02000183,Camden 018,1535883,64600,8115,57.8
E02000184,Camden 019,620556,50600,8862,45.5
E02000185,Camden 020,503098,45700,8981,67.6
E02000186,Camden 021,1889337,52500,6881,40.7
E02000187,Camden 022,678005,41200,8960,59.3
E02000188,Camden 023,432804,40600,8252,53.8
E02000189,Camden 024,622827,44300,6237,32.8
E02000190,Camden 025,751829,41300,8000,28.5
E02000191,Camden 026,784357,57700,8383,15.5
E02000192,Camden 027,864109,50600,7733,47
E02000193,Camden 028,892064,59000,8219,27.2
E02000194,Croydon 001,357601,47700,9234,85.7
E02000195,Croydon 002,377072,49500,9550,85.4
E02000196,Croydon 003,358314,46400,7723,66.3
E02000197,Croydon 004,345823,44700,9411,76.9
E02000198,Croydon 005,249476,40800,8465,69.7
E02000199,Croydon 006,267471,46400,8511,77
E02000200,Croydon 007,241837,45200,8716,79.7
E02000201,Croydon 008,230628,41700,8982,82.1
E02000202,Croydon 009,241629,44000,8515,64.2
E02000203,Croydon 010,239484,42800,7848,74.8
E02000204,Croydon 011,248959,45700,9569,61.2
E02000206,Croydon 013,214251,38700,9772,59.7
E02000207,Croydon 014,239575,44400,9251,85.6
E02000208,Croydon 015,210391,39100,10425,79.1
E02000209,Croydon 016,229208,44000,8652,115.2
E02000210,Croydon 017,262440,46800,8402,81.1
E02000211,Croydon 018,343279,52400,8142,70.5
E02000212,Croydon 019,231568,42600,8868,48.8
E02000213,Croydon 020,238973,40200,9859,106.4
E02000214,Croydon 021,358476,57600,6480,82.7
E02000215,Croydon 022,252638,49700,10775,54.7
E02000216,Croydon 023,334805,55800,6796,82.8
E02000217,Croydon 024,234659,43000,10979,59.7
E02000218,Croydon 025,346278,46200,6770,91
E02000219,Croydon 026,401940,57500,7698,66
E02000220,Croydon 027,242452,46100,10838,43
E02000221,Croydon 028,270756,42300,10577,90.7
E02000222,Croydon 029,314348,53100,8275,82.4
E02000223,Croydon 030,219285,33300,8361,64.5
E02000224,Croydon 031,282869,54300,7955,68.8
E02000225,Croydon 032,240297,39800,7619,86.8
E02000226,Croydon 033,398375,61100,7714,61.9
E02000227,Croydon 034,240620,48000,11616,43.1
E02000228,Croydon 035,453601,66900,7793,61.8
E02000229,Croydon 036,239661,36400,6512,53.1
E02000230,Croydon 037,361234,57700,10281,91.2
E02000231,Croydon 038,593910,66300,7763,66.5
E02000232,Croydon 039,392002,53900,6330,49.9
E02000233,Croydon 040,358891,54700,6338,44.4
E02000234,Croydon 041,368614,54400,8405,73
E02000235,Croydon 042,371239,61300,7149,61
E02000236,Croydon 043,375082,62400,7802,59.8
E02000237,Croydon 044,354324,53900,7662,65.2
E02006788,Croydon 045,285715,42100,7657,57.5
E02000238,Ealing 001,287686,48100,9741,82.3
E02000239,Ealing 002,374957,53100,9117,82.8
E02000240,Ealing 003,267733,44000,10413,93.6
E02000241,Ealing 004,314517,48000,6769,85
E02000242,Ealing 005,366106,49800,6985,92
E02000243,Ealing 006,301487,45500,8654,80.8
E02000244,Ealing 007,355832,48900,7380,107.1
E02000245,Ealing 008,206213,39700,8523,93.4
E02000246,Ealing 009,286703,44500,8801,81.8
E02000247,Ealing 010,240836,46700,10417,112.4
E02000248,Ealing 011,481876,48800,7381,79.7
E02000249,Ealing 012,320934,45300,7825,94.4
E02000250,Ealing 013,629265,65200,6437,52.9
E02000251,Ealing 014,312747,48700,7839,68
E02000252,Ealing 015,335218,37500,10382,80.9
E02000253,Ealing 016,388833,42600,9519,83.9
E02000254,Ealing 017,265164,47700,8823,83.6
E02000255,Ealing 018,586530,54700,9305,69.2
E02000256,Ealing 019,628969,60400,8992,56.9
E02000257,Ealing 020,662380,60500,13418,52.7
E02000258,Ealing 021,666569,54000,7080,84.6
E02000259,Ealing 022,476988,54600,6237,69.4
E02000260,Ealing 023,268871,46400,9057,79.8
E02000261,Ealing 024,551340,43800,11362,80.4
E02000262,Ealing 025,642178,47400,9109,83
E02000263,Ealing 026,244989,45600,11988,104.1
E02000264,Ealing 027,697206,58400,8152,55.1
E02000265,Ealing 028,466685,51400,10665,80.1
E02000266,Ealing 029,271467,39300,11691,70.5
E02000267,Ealing 030,442566,52200,7269,87.9
E02000268,Ealing 031,682681,58300,9139,63.4
E02000269,Ealing 032,622341,65600,8170,58.1
E02000270,Ealing 033,438918,43000,7971,77.5
E02000271,Ealing 034,1201882,69200,6700,80.3
E02000272,Ealing 035,642519,61200,6553,79.7
E02000274,Ealing 037,236112,43200,13617,70.1
E02000275,Ealing 038,337160,45800,7421,105.3
E02000276,Ealing 039,530929,64600,6527,93.8
E02006791,Ealing 040,711250,63300,6689,72
E02000277,Enfield 001,244019,44800,7376,73.6
E02000278,Enfield 002,242145,41500,9350,99
E02000279,Enfield 003,214974,44200,12237,90
E02000280,Enfield 004,351314,50100,8566,74.6
E02000281,Enfield 005,264471,44400,8839,80.3
E02000282,Enfield 006,215415,37200,9270,98.7
E02000283,Enfield 007,305808,41800,8612,80.4
E02000284,Enfield 008,324939,52100,8520,76.7
E02000285,Enfield 009,384180,55800,6544,57.7
E02000286,Enfield 010,385748,51500,8329,72.5
E02000287,Enfield 011,899524,60300,6968,58.6
E02000288,Enfield 012,247313,43800,10797,86.4
E02000289,Enfield 013,537663,56000,6571,44.4
E02000290,Enfield 014,209181,38700,7255,95.8
E02000291,Enfield 015,279945,46600,9425,94.7
E02000292,Enfield 016,296689,48200,9910,78.1
E02000293,Enfield 017,546782,61200,6362,52.8
E02000294,Enfield 018,264867,43100,9209,72.1
E02000295,Enfield 019,419210,52400,8733,59.6
E02000296,Enfield 020,341649,45100,10053,67.3
E02000297,Enfield 021,390340,53100,9520,46.9
E02000298,Enfield 022,669089,61900,8104,55.4
E02000299,Enfield 023,247294,42800,9662,108.1
E02000300,Enfield 024,235279,41100,8676,85.7
E02000301,Enfield 025,211833,35700,10615,94.6
E02000302,Enfield 026,383272,49100,8582,77.1
E02000303,Enfield 027,267978,38300,8883,82.3
E02000304,Enfield 028,607183,59400,7784,55.4
E02000305,Enfield 029,431276,54000,9140,70.9
E02000306,Enfield 030,197446,35500,9657,127.4
E02000307,Enfield 031,293091,46800,9952,77.2
E02000308,Enfield 032,440202,45900,8099,72.7
E02000309,Enfield 033,231642,37300,11405,107.2
E02000311,Enfield 035,312153,40600,10481,92.7
E02000312,Enfield 036,392137,52000,11449,78.7
E02006793,Enfield 037,202698,34900,9639,93.9
E02000313,Greenwich 001,160391,37900,7182,101.8
E02000314,Greenwich 002,198342,46900,15154,148.6
E02000315,Greenwich 003,225278,35300,9532,112.3
E02000316,Greenwich 004,279864,45200,12388,150.1
E02000317,Greenwich 005,265655,36700,8518,84.4
E02000318,Greenwich 006,237391,35300,10613,91.1
E02000319,Greenwich 007,239240,40300,11743,111.3
E02000320,Greenwich 008,264952,43800,7095,80.3
